JOUR,HEURE,ID_MALE,VU,DIFFUSION,DIFFUSION_SOUS_TYPE,SESSION_DIFF,SESSION_TYPE,SESSION_SOUS_TYPE,STROPHES_AVANT,DISTANCE_MIN,LATENCE,STROPHES_APRES,CRIS,SURVOLS,FEMELLE,PUBLIC,TEMPERATURE,VENT_MOY,VENT_MAX,PLUIE,ENSOLEILLEMENT,MEMO
1,743,1,0,FTNsif,3,1,1,1,0,2,12,3,14,3,0,9,11,2,6.4,0,21,
1,759,2,0,TN,4,1,1,1,5,2,12,1,0,1,1,1,11,2,6.4,0,21,
1,807,3,1,TN,1,1,1,1,7,5,10,1,52,1,0,0,10.9,3,9.7,0,37,survolinitial
1,817,4,0,FJ,3,1,1,1,0,2,14,2,0,1,1,0,10.9,3,9.7,0,37,restepresdelasourcesonore
1,828,5,1,FJ,3,1,1,1,4,10,8,3,205,0,0,3,10.9,3,9.7,0,37,
1,840,6,0,FTNsif,1,1,1,1,2,10,94,5,12,0,1,0,11.3,3,12.9,0,134,survolfemelle
1,900,1,1,FJ,1,2,1,1,4,2,14,9,0,1,0,2,11.3,3,16.1,0,301,bcpchante(gazouillis)
1,909,2,1,FTNsif,3,2,1,1,1,5,12,5,10,0,1,0,11.9,6,16.1,0,301,reactionfemelle.malesenva
1,917,3,1,FTNsif,4,2,1,1,0,5,43,9,2,0,0,0,11.9,6,16.1,0,301,
1,926,4,1,FTNgaz,4,2,1,1,0,2,6,3,4,1,1,1,11.9,6,16.1,0,301,femelle&malesontvenus.echangesentremales
1,937,5,1,FTNsif,4,2,1,1,0,2,19,7,1,3,1,1,12.7,8,22.5,0,308,
1,948,6,0,FTNgaz,3,2,1,1,0,2,42,0,13,1,1,2,12.7,8,22.5,0,308,
1,1005,1,0,FTNgaz,4,3,1,1,0,5,92,9,0,0,0,1,13.7,10,20.9,0,223,
1,1017,2,0,FTNcomp,1,3,1,1,3,5,54,4,6,0,0,3,13.7,10,20.9,0,223,recre
1,1025,3,0,FTNgaz,2,3,1,1,4,2,17,11,3,3,0,0,13.7,10,20.9,0,223,
1,1034,4,0,FG,2,3,1,1,0,90,180,0,0,0,0,0,14.2,8,22.5,0,536,
1,1045,5,0,FTNcomp,1,3,1,1,0,90,180,0,0,0,0,1,14.2,8,22.5,0,536,
1,1055,6,0,FG,1,3,1,1,7,10,32,4,19,0,0,1,14.2,8,22.5,0,536,2males
1,1113,1,0,TN,3,4,1,1,6,5,15,8,0,4,0,2,14.1,10,20.9,0,332,
1,1124,2,0,FTNgaz,4,4,1,1,0,2,16,5,0,4,0,2,14.1,10,20.9,0,332,
1,1131,3,0,FTNcomp,1,4,1,1,2,5,38,18,0,0,0,0,14.9,8,20.9,0,893,
1,1140,4,1,FTNsif,3,4,1,1,0,90,180,0,0,0,0,0,14.9,8,20.9,0,893,
1,1150,5,1,FTNgaz,2,4,1,1,0,2,22,7,8,2,1,0,14.9,8,20.9,0,893,tresprocheenceinte
1,1200,6,0,TN,1,4,1,1,0,10,139,0,2,0,0,6,15.3,6,16.1,0,956,
1,1307,1,0,FG,3,5,1,1,0,90,180,0,0,0,0,8,15.9,8,19.3,0,856,
1,1317,2,0,FJ,4,5,1,1,0,90,5,0,0,0,0,1,15.9,8,19.3,0,856,recre
1,1324,3,0,FG,3,5,1,1,0,90,180,0,0,0,0,0,15.9,8,19.3,0,856,recre
1,1332,4,0,TN,4,5,1,1,0,90,180,0,0,0,0,0,15.9,8,24.1,0,287,
1,1342,5,0,FG,4,5,1,1,0,2,13,5,48,2,0,5,15.9,8,24.1,0,287,
1,1352,6,0,FJ,2,5,1,1,0,90,180,0,0,0,0,5,15.9,8,24.1,0,287,
1,1410,1,0,FTNcomp,2,6,1,1,0,2,37,2,0,4,0,2,16.4,6,17.7,0,766,
1,1420,2,1,FG,2,6,1,1,7,90,180,1,0,0,0,2,16.4,6,17.7,0,766,gazouilliscontinuapartirdeladiffusion
1,1427,3,1,FJ,4,6,1,1,0,5,180,0,20,1,0,0,16.4,6,17.7,0,766,
1,1435,4,0,FTNcomp,4,6,1,1,0,90,180,0,0,0,0,0,16.7,6,14.5,585.2,339,
1,1445,5,0,TN,1,6,1,1,0,90,180,0,0,0,0,0,16.7,6,14.5,585.2,339,
1,1450,6,0,FTNcomp,4,6,1,1,0,10,79,2,0,0,0,5,16.7,6,14.5,585.2,339,
1,1515,1,0,FTNsif,4,7,2,1,0,2,60,0,0,1,0,4,16.8,8,19.3,1.3,687,
1,1525,2,0,TN,2,7,2,1,0,10,41,0,0,0,0,0,16.8,8,19.3,1.3,687,
1,1530,3,0,TN,2,7,2,1,0,90,180,0,0,0,0,0,17.6,5,16.1,0,786,
1,1540,4,0,FJ,1,7,2,1,0,90,180,0,0,0,0,0,17.6,5,16.1,0,786,
1,1548,5,1,FJ,4,7,2,1,0,2,20,2,163,1,0,3,17.6,5,16.1,0,786,chantpendantdiffusion.Aprèscris
1,1557,6,0,FTNsif,3,7,2,1,0,90,180,0,0,0,0,3,17.6,5,16.1,0,786,
1,1613,1,0,FJ,2,8,2,1,0,2,12,5,0,3,0,9,17.3,5,16.1,0,243,
1,1622,2,1,FTNsif,1,8,2,1,0,5,44,2,0,0,0,1,17.3,5,16.1,0,243,chantsourdine
1,1630,3,0,FTNsif,2,8,2,1,0,5,36,3,0,0,1,0,17.3,6,20.9,0,758,
1,1638,4,1,FTNgaz,2,8,2,1,0,5,180,0,5,0,0,0,17.3,6,20.9,0,758,lamaispasreagi
1,1647,5,0,FTNsif,2,8,2,1,0,90,180,0,30,0,1,0,17.3,6,20.9,0,758,femellela.Maleloin?
1,1656,6,0,FTNgaz,1,8,2,1,0,2,70,3,0,1,0,0,17.3,6,20.9,0,758,
2,741,6,0,FG,3,9,2,1,0,5,155,0,0,0,0,4,6.6,5,12.9,0,23,
2,755,5,0,FTNcomp,4,9,2,1,0,90,180,0,0,0,0,0,6.6,5,12.9,0,23,
2,809,4,0,FTNgaz,1,9,3,1,0,90,180,0,0,0,1,1,7.7,3,6.4,0,47,
2,816,3,0,FTNsif,1,9,3,1,0,2,60,4,0,5,1,0,7.7,3,6.4,0,47,2femelles
2,824,2,0,FTNsif,4,9,3,1,0,5,90,0,0,0,1,8,7.7,3,6.4,0,47,
2,834,1,0,FJ,4,9,3,1,0,90,180,0,0,0,0,21,9,3,4.8,0,241,
2,850,6,1,FG,3,10,3,2,0,10,130,1,0,0,0,1,9,3,4.8,0,241,Debroussailleuse
2,900,5,0,FTNsif,2,10,3,2,0,90,180,0,0,0,0,0,10.6,2,6.4,0,325,
2,909,4,1,FG,4,10,2,1,0,90,180,0,0,0,0,1,10.6,2,6.4,0,325,
2,917,3,1,FTNgaz,4,10,2,1,8,10,180,6,0,0,0,0,10.6,2,6.4,0,325,"2malesacote.durdefaireladifference.Stoppelechantaladiffusion,reprendavantfin"
2,925,2,1,FTNcomp,2,10,2,1,8,2,2,18,2,1,1,2,10.6,2,6.4,0,325,
2,935,1,1,FTNgaz,3,10,2,1,3,10,180,2,0,0,1,5,11.7,3,9.7,0,415,maleetfemelleladesledepart
2,953,6,0,TN,2,11,2,1,0,90,41,0,0,0,0,10,11.7,3,9.7,0,415,
2,1001,5,0,FTNgaz,3,11,2,1,0,2,180,2,151,1,0,6,11.7,3,8,0,499,
2,1011,4,0,FTNsif,4,11,2,1,0,90,180,1,0,0,0,3,11.7,3,8,0,499,
2,1020,3,0,FTNcomp,4,11,2,1,0,5,30,7,0,1,0,0,12.7,3,8,0,499,
2,1027,2,1,FTNgaz,2,11,2,1,0,5,3,22,45,1,1,9,12.7,3,8,0,499,
2,1035,1,0,TN,2,11,2,1,0,90,180,0,0,0,0,15,13.4,2,6.4,0,575,
2,1054,6,0,FJ,4,12,2,1,0,90,180,0,0,0,0,11,13.4,2,6.4,0,575,
2,1102,5,0,FG,3,12,2,1,0,10,55,2,240,0,0,3,14.8,3,6.4,0,640,
2,1111,4,0,TN,2,12,2,1,0,90,180,0,0,0,0,2,14.8,3,6.4,0,640,
2,1120,3,0,FG,1,12,2,1,4,5,95,7,0,0,0,0,14.8,3,6.4,0,640,bruit
2,1126,2,0,FJ,3,12,2,1,0,90,180,0,0,0,0,11,15.3,5,6.4,0,640,
2,1141,1,1,FG,2,12,2,1,1,5,2,0,0,0,0,13,15.3,5,9.7,0,698,
2,1304,6,0,FTNsif,1,13,3,2,0,90,180,0,0,0,1,15,17.6,5,12.9,0,846,pasdemalemaisfemelle
2,1313,5,1,TN,2,13,2,1,1,10,10,1,120,0,0,3,17.6,5,12.9,0,846,
2,1323,4,0,FTNcomp,3,13,2,1,0,90,180,0,7,0,0,0,17.6,5,12.9,0,846,bruitenfantsetepervier
2,1333,3,0,FJ,1,13,2,1,0,2,20,0,0,3,0,0,17.6,5,16.1,0,805,
2,1340,2,0,FG,3,13,2,1,0,5,180,0,0,0,0,0,17.6,5,16.1,0,905,
2,1350,1,1,FTNcomp,1,13,2,1,1,90,20,5,0,0,0,2,17.6,5,16.1,0,805,
2,1407,6,0,FTNsif,2,14,4,1,0,10,180,0,0,0,0,7,18.4,6,16.1,0,800,
2,1417,5,0,FJ,2,14,3,1,0,2,20,0,19,2,0,3,18.4,6,16.1,0,800,
2,1426,4,0,FJ,4,14,3,1,0,90,180,0,0,0,0,2,18.4,6,16.1,0,800,
2,1433,3,1,TN,3,14,3,1,11,10,180,0,0,0,0,0,19,3,11.3,0,722,
2,1441,2,0,TN,3,14,3,1,0,90,180,0,0,0,0,0,19,3,11.3,0,722,
2,1450,1,0,FTNsif,2,14,3,1,0,2,30,1,0,1,0,4,19,3,11.3,0,722,Rechanteapreslexperience
2,1506,6,0,FG,4,15,4,1,0,90,180,0,0,0,0,14,19.4,5,11.3,0,696,Diffusion118seulement
2,1515,5,0,FTNcomp,3,15,3,1,0,90,180,0,0,0,0,8,19.4,5,11.3,0,696,
2,1523,4,0,FG,3,15,3,1,0,90,180,0,0,0,0,0,19.4,5,11.3,0,696,
2,1530,3,1,FTNgaz,3,15,3,1,9,5,15,13,0,0,0,1,19,3,12.9,0,696,
2,1538,2,1,FTNcomp,3,15,3,1,1,5,180,8,0,0,0,0,19,3,12.9,0,403,passursicestlevoisinplusluiouquelui.publicbruyant
2,1547,1,0,FTNgaz,2,15,3,1,0,90,180,0,0,0,0,5,19,3,12.9,0,403,
2,1603,6,0,TN,3,16,3,1,0,90,180,0,0,0,0,18,19.2,3,8,0,355,Bruitenvironnant
2,1612,5,0,FTNgaz,1,16,3,1,0,2,20,0,0,1,1,10,19.2,3,8,0,355,
2,1621,4,0,FTNsif,2,16,3,1,0,10,2,0,0,0,1,0,19.2,3,8,0,355,Crisfemelle
2,1629,3,0,FTNcomp,2,16,3,1,0,2,60,2,3,2,0,0,19.6,5,14.5,0,355,
2,1636,2,1,FTNgaz,1,16,3,1,1,5,30,3,0,0,1,0,19.6,5,14.5,0,316,Bruit(bebe)+gazouilliscontinu
2,1646,1,0,TN,4,16,3,1,0,90,180,0,0,0,0,10,19.6,5,14.5,0,316,
3,731,4,0,TN,1,17,3,1,0,90,180,0,0,0,0,0,9.2,0,0,0,23,
3,740,5,1,FG,2,17,3,1,0,10,150,2,9,1,0,1,9.2,0,0,0,23,voiture
3,749,6,0,FJ,1,17,3,1,0,10,160,0,22,0,0,0,9.2,0,0,0,23,
3,812,1,1,FG,1,17,3,1,0,2,83,0,0,0,0,7,10.3,0,0,0,113,
3,821,2,0,FJ,2,17,3,1,0,5,10,0,0,0,1,0,10.3,0,0,0,113,
3,827,3,1,FG,2,17,3,1,2,2,17,9,0,1,0,0,10.3,0,0,0,113,couplevuavantdiffusion
3,834,4,0,FTNcomp,1,18,3,1,0,5,36,3,70,1,0,0,13.4,2,6.4,0,279,
3,843,5,1,TN,3,18,3,1,2,5,11,1,22,1,0,3,13.4,2,6.4,0,279,taquaitdejaavantdiffusion
3,851,6,0,FTNcomp,2,18,2,1,0,90,180,0,0,0,0,1,13.4,2,6.4,0,279,
3,906,1,0,FTNcomp,4,18,3,1,0,2,33,1,0,0,0,3,15.3,2,4.8,0,279,gazouillis
3,915,2,1,FG,1,18,3,1,0,90,10,0,8,0,0,1,15.3,2,4.8,0,279,femellepresente
3,922,3,1,FJ,3,18,3,1,1,2,16,19,0,0,0,0,15.3,2,4.8,0,279,
3,930,4,0,FJ,2,19,4,1,0,90,180,0,0,0,0,0,16.6,3,6.4,0,424,chantsetcrismaisunpeuloin(voisinspeutetre)
3,939,5,0,FJ,1,19,4,1,0,2,30,2,36,3,1,0,16.6,3,6.4,0,424,
3,948,6,0,FTNsif,4,19,5,1,0,2,24,14,0,1,0,4,16.6,3,6.4,0,424,2malescoteacote
3,1004,1,0,FTNsif,1,19,4,1,0,2,17,9,9,4,0,0,17.7,3,9.7,0,504,
3,1012,2,0,TN,1,19,4,1,0,90,180,0,0,0,0,1,17.7,3,9.7,0,504,recre
3,1019,3,0,TN,4,19,4,1,0,5,10,8,0,0,0,0,17.7,3,9.7,0,504,
3,1027,4,0,FTNgaz,3,20,4,1,0,2,19,1,1,0,1,0,17.7,3,9.7,0,504,
3,1037,5,1,FTNsif,3,20,4,1,0,2,6,2,0,1,0,2,18.8,3,8,0,577,estvenuttdesuite.Lechantarriveapres
3,1045,6,0,FTNgaz,4,20,3,1,0,2,97,1,4,2,0,5,18.8,3,8,0,577,
3,1102,1,1,FJ,3,20,4,1,0,0,180,0,0,0,0,7,20,3,8,0,650,presentsavantdiffusion
3,1111,2,0,FTNsif,2,20,4,1,0,0,180,0,0,0,0,0,20,3,8,0,650,recre
3,1119,3,0,FTNsif,3,20,4,1,0,5,150,1,1,2,1,30,20,3,8,0,650,hordedenfantsquicriententrenousetlesite
3,1304,4,0,FG,1,21,4,1,0,90,180,2,41,0,0,0,21.1,3,12.9,0,506,
3,1314,5,0,FTNcomp,2,21,4,1,0,90,180,0,0,0,1,7,21.1,3,12.9,0,506,femellequicrie.Paslemale
3,1323,6,0,FG,2,21,5,1,0,90,180,0,0,0,0,7,21.1,3,12.9,0,506,
3,1340,1,0,FTNgaz,1,21,4,1,0,10,18,0,0,0,0,4,21.6,3,11.3,0,492,
3,1349,2,0,FTNcomp,4,21,4,1,0,5,35,4,0,3,1,0,21.6,3,11.3,0,492,recre
3,1355,3,0,FTNgaz,1,21,4,1,0,2,18,3,0,2,0,0,21.6,3,11.3,0,492,
3,1403,4,0,FTNsif,1,22,4,1,0,90,180,0,0,0,0,0,22.6,3,8,0,689,
3,1411,5,0,FTNgaz,4,22,4,1,0,90,180,0,0,0,1,1,22.6,3,8,0,689,femellequicrie.Pasdemale
3,1421,6,0,TN,4,22,4,1,0,90,180,0,0,0,0,3,22.6,3,8,0,689,
3,1439,1,0,TN,1,22,4,1,0,5,120,0,0,1,0,1,22.3,5,9.7,0,737,
3,1449,2,0,FTNgaz,3,22,4,1,0,90,180,0,0,0,1,0,22.3,5,9.7,0,737,2femelles
3,1455,3,0,FTNcomp,3,22,4,1,0,10,141,0,0,0,0,0,22.3,5,9.7,0,737,
3,1502,4,1,FG,4,23,5,2,0,10,29,6,5,0,0,0,22.2,6,12.9,0,515,
3,1512,5,0,FG,1,23,4,1,0,90,180,0,0,0,0,4,22.2,6,12.9,0,515,
3,1524,6,0,FJ,3,23,4,1,0,90,180,0,0,0,0,3,22.2,6,12.9,0,515,
3,1540,1,0,FG,4,23,4,1,0,90,180,0,0,0,0,30,23.2,5,11.3,0,615,bcpd'enfants
3,1551,2,1,FJ,1,23,4,1,0,5,14,5,0,0,0,30,23.2,5,11.3,0,615,gazouillispermanents(noncomptescommechant)
3,1558,3,0,FG,4,23,4,1,0,90,180,0,0,0,0,0,23.2,5,11.3,0,615,
3,1605,4,0,FTNcomp,2,24,4,1,0,90,180,0,0,0,0,0,23.5,3,12.9,0,417,
3,1615,5,0,TN,4,24,4,1,0,90,180,0,0,0,0,7,23.5,3,12.9,0,417,
3,1624,6,0,FTNcomp,3,24,3,1,0,90,180,0,0,0,0,6,23.5,3,12.9,0,417,
3,1643,1,0,FTNcomp,3,24,4,1,0,90,180,0,0,0,0,1,23.4,5,12.9,0,394,
3,1652,2,0,FG,4,24,4,1,0,90,180,0,0,0,0,3,23.4,5,12.9,0,394,
3,1658,3,1,FJ,2,24,4,1,6,5,13,14,0,0,0,3,23.4,5,12.9,0,394,
4,734,3,1,FG,4,25,5,2,8,5,5,10,3,0,0,0,15.8,5,11.3,0,58,chantlanceparmegardeavantledebut
4,742,2,1,FTNgaz,4,25,5,2,7,5,8,14,0,0,0,1,15.8,5,11.3,0,58,jardinierjustedevantlenceinte.lemalesapprochepastrop.gazouilliscontinuprediff
4,752,1,1,FJ,3,25,5,2,2,10,180,0,0,0,0,3,15.8,5,11.3,0,58,
4,810,6,0,FTNcomp,4,25,4,2,0,5,80,6,7,0,0,3,16.2,6,12.9,0,104,rossignol
4,819,5,0,FTNcomp,3,25,5,2,0,90,180,0,0,0,0,0,16.2,6,12.9,0,104,
4,828,4,0,TN,4,25,4,2,0,90,180,0,0,0,0,0,16.2,6,12.9,0,104,
4,836,3,1,FTNsif,4,26,5,2,4,5,15,9,0,0,0,1,16.8,10,16.1,0,197,
4,844,2,0,TN,2,26,5,2,0,90,180,0,0,0,0,0,16.8,10,16.1,0,197,recre
4,853,1,0,FTNsif,2,26,5,2,0,2,63,6,0,0,1,5,16.8,10,16.1,0,197,crisparlafemelle(6)
4,909,6,0,FTNsif,4,26,6,2,0,90,180,0,0,0,0,0,17.4,11,24.1,0,271,
4,918,5,1,FTNgaz,1,26,5,2,2,2,180,6,0,2,0,1,17.4,11,24.1,0,271,
4,927,4,0,FTNcomp,4,26,5,2,0,10,30,0,3,0,0,0,17.4,11,24.1,0,271,
4,935,3,0,FTNgaz,2,27,5,2,0,2,30,21,0,0,0,0,17.8,13,22.5,0,283,
4,942,2,0,FJ,1,27,5,2,0,90,69,0,0,0,0,2,17.8,13,22.5,0,283,
4,951,1,0,FTNcomp,3,27,5,2,3,2,25,7,0,2,0,1,17.8,13,22.5,0,283,
4,1014,6,0,TN,2,27,5,2,0,90,180,0,0,0,0,0,19.2,8,16.1,0,408,
4,1023,5,0,FTNsif,3,27,5,2,0,90,10,0,0,0,0,1,19.2,8,16.1,0,408,crislointains
4,1034,4,0,FG,2,27,6,2,0,90,32,0,0,0,0,0,19.7,5,16.1,0,497,crislointains
4,1041,3,0,FJ,3,28,5,2,0,5,96,14,0,0,0,0,19.7,5,12.9,0,497,recre
4,1048,2,0,FG,2,28,5,2,0,90,87,0,0,0,0,1,19.7,5,12.9,0,497,recre
4,1057,1,0,FG,3,28,5,2,0,90,180,0,0,0,0,1,19.7,5,12.9,0,497,
4,1113,6,0,FJ,1,28,5,2,0,90,180,0,0,0,0,3,20.4,11,22.5,0,23,
4,1121,5,0,TN,4,28,5,2,0,90,180,0,0,0,0,1,20.4,11,22.5,0,23,
4,1130,4,0,FTNgaz,1,28,5,1,0,90,180,0,0,0,0,0,20.4,13,20.9,0,761,
4,1259,3,1,FTNsif,3,29,6,2,9,5,25,12,1,0,0,0,23.6,13,22.5,0,761,
4,1306,2,1,FTNcomp,4,29,5,2,11,2,8,12,0,1,0,3,23.6,11,24.1,0,735,
4,1315,1,0,FTNgaz,3,29,5,2,0,90,180,0,0,0,0,9,23.6,11,24.1,0,735,
4,1331,6,0,FTNgaz,4,29,4,2,0,90,180,0,0,0,0,0,24,11,20.9,0,800,
4,1339,5,1,FG,1,29,5,2,1,90,180,0,0,0,1,4,24,11,20.9,0,800,
4,1348,4,0,FTNsif,1,29,5,2,0,90,180,0,0,0,0,0,24,11,20.9,0,800,
4,1356,3,1,TN,1,30,5,2,5,5,10,10,0,0,0,25,24,11,20.9,0,800,classequivaaucoursdesport
4,1403,2,1,FTNsif,4,30,5,2,9,5,12,6,4,0,0,0,23.9,10,22.5,0,687,
4,1411,1,0,TN,2,30,5,2,0,90,180,0,0,0,0,1,23.9,10,22.5,0,687,
4,1428,6,0,FG,1,30,6,2,0,10,165,0,19,0,0,2,23.9,10,22.5,0,687,
4,1436,5,1,FJ,3,30,3,2,1,10,180,0,0,0,0,1,24.2,16,27.4,0,684,
4,1445,4,0,FJ,3,30,5,2,0,90,180,0,0,0,0,0,24.2,16,27.4,0,684,
4,1453,3,0,FG,3,31,6,2,0,5,122,0,0,0,0,0,24.2,16,27.4,0,684,
4,1500,2,1,FTNgaz,1,31,6,2,2,2,10,15,5,1,0,0,23.9,15,29,0,635,
4,1508,1,1,FJ,2,31,6,2,1,5,18,7,0,0,0,2,23.9,15,29,0,635,
4,1525,6,0,FTNcomp,1,31,5,1,0,5,105,9,0,0,0,3,23.9,15,29,0,635,
4,1538,5,0,FTNcomp,1,31,6,2,0,2,20,1,0,1,0,100,24.1,11,20.9,0,717,fluxcontinudenfantsquicourentetparlententrenousetlesite
4,1547,4,1,TN,1,31,5,2,1,10,8,0,13,0,0,0,24.1,11,20.9,0,717,
4,1554,3,0,FTNsif,3,32,7,3,3,5,65,7,0,0,0,4,24.1,11,20.9,0,717,
4,1601,2,1,TN,3,32,6,2,1,5,38,1,0,0,0,0,24.2,13,27.4,0,385,
4,1610,1,1,FTNsif,3,32,6,2,1,5,90,1,0,0,0,10,24.2,13,27.4,0,385,
4,1627,6,0,FTNsif,2,32,7,2,0,5,20,3,0,1,0,3,24.2,13,27.4,0,385,
4,1635,5,0,FTNgaz,4,32,6,2,0,5,4,2,226,0,0,3,23.7,13,29,0,318,
4,1644,4,0,FTNcomp,3,32,6,2,0,90,35,0,0,0,0,0,23.7,13,29,0,318,