Espece,25-34,35-44,45-54,55-64,65-74,75-84,85-94,95-104,105-114,115-124,Autre,Hauteur_Dominante_(m),Taille_sup_1,Taille_sup_2,Taille_sup_3,Taille_sup_4,Taille_sup_5,Taille_sup_6,Notes,Placette,Sous_placette
Acer campestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P1,SP1
Acer platanoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P1,SP1
Alnus glutinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P1,SP1
Carpinus betulus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P1,SP1
Castanea sativa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P1,SP1
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P1,SP1
Crataegus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P1,SP1
Fraxinus exclesior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P1,SP1
Ilex aquifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P1,SP1
Populus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P1,SP1
Prunus avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P1,SP1
Quercus petraea,3,3,6,3,3,2,2,2,0,0,0,15.5,0,0,0,0,0,0,X,P1,SP1
Quercus pubescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P1,SP1
Quercus robur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P1,SP1
Robinia pseudoacacia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P1,SP1
Salix sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P1,SP1
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P1,SP1
Sorbus acuparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P1,SP1
Sorbus torminalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P1,SP1
Tillia grandifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P1,SP1
Acer campestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P2,SP1
Acer platanoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P2,SP1
Alnus glutinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P2,SP1
Carpinus betulus,3,4,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,X,P2,SP1
Castanea sativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P2,SP1
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P2,SP1
Crataegus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P2,SP1
Fraxinus exclesior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P2,SP1
Ilex aquifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P2,SP1
Populus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P2,SP1
Prunus avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P2,SP1
Quercus petraea,0,0,1,1,1,1,2,1,2,3,2,30,127,233,0,0,0,0,X,P2,SP1
Quercus pubescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P2,SP1
Quercus robur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P2,SP1
Robinia pseudoacacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P2,SP1
Salix sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P2,SP1
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P2,SP1
Sorbus acuparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P2,SP1
Sorbus torminalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P2,SP1
Tillia grandifolia,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,En longueur,P2,SP1
Acer campestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P3,SP1
Acer platanoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P3,SP1
Alnus glutinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P3,SP1
Carpinus betulus,0,1,0,3,0,1,2,0,0,0,0,20,0,0,0,0,0,0,X,P3,SP1
Castanea sativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P3,SP1
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P3,SP1
Crataegus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P3,SP1
Fraxinus exclesior,0,0,0,0,0,0,0,0,0,0,1,27,149,0,0,0,0,0,X,P3,SP1
Ilex aquifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P3,SP1
Populus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P3,SP1
Prunus avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P3,SP1
Quercus petraea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P3,SP1
Quercus pubescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P3,SP1
Quercus robur,0,0,0,0,0,0,0,0,0,0,3,29,203,210,130,0,0,0,X,P3,SP1
Robinia pseudoacacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P3,SP1
Salix sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P3,SP1
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P3,SP1
Sorbus acuparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P3,SP1
Sorbus torminalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P3,SP1
Tillia grandifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P3,SP1
Acer campestre,2,0,1,3,1,1,1,0,0,0,0,15,0,0,0,0,0,0,X,P4,SP1
Acer platanoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P4,SP1
Alnus glutinosa,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,X,P4,SP1
Carpinus betulus,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,X,P4,SP1
Castanea sativa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P4,SP1
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P4,SP1
Crataegus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P4,SP1
Fraxinus exclesior,0,0,0,1,1,1,0,0,0,0,2,27,180,180,0,0,0,0,X,P4,SP1
Ilex aquifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P4,SP1
Populus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P4,SP1
Prunus avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P4,SP1
Quercus petraea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P4,SP1
Quercus pubescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P4,SP1
Quercus robur,0,0,0,0,0,0,0,0,0,0,1,27,125,0,0,0,0,0,X,P4,SP1
Robinia pseudoacacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P4,SP1
Salix sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P4,SP1
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P4,SP1
Sorbus acuparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P4,SP1
Sorbus torminalis,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,X,P4,SP1
Tillia grandifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P4,SP1
Acer campestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P5,SP1
Acer platanoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P5,SP1
Alnus glutinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P5,SP1
Carpinus betulus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P5,SP1
Castanea sativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P5,SP1
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P5,SP1
Crataegus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P5,SP1
Fraxinus exclesior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P5,SP1
Ilex aquifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P5,SP1
Populus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P5,SP1
Prunus avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P5,SP1
Quercus petraea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P5,SP1
Quercus pubescens,12,7,7,2,2,1,0,0,0,1,3,11,175,150,150,0,0,0,X,P5,SP1
Quercus robur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P5,SP1
Robinia pseudoacacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P5,SP1
Salix sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P5,SP1
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P5,SP1
Sorbus acuparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P5,SP1
Sorbus torminalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P5,SP1
Tillia grandifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P5,SP1
Acer campestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP1
Acer platanoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP1
Alnus glutinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP1
Carpinus betulus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP1
Castanea sativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP1
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP1
Crataegus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP1
Fraxinus exclesior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP1
Ilex aquifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP1
Populus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP1
Prunus avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP1
Quercus petraea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP1
Quercus pubescens,15,12,8,3,5,1,0,0,1,1,2,13,155,155,0,0,0,0,X,P6,SP1
Quercus robur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP1
Robinia pseudoacacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP1
Salix sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP1
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP1
Sorbus acuparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP1
Sorbus torminalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP1
Tillia grandifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP1
Acer campestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP1
Acer platanoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP1
Alnus glutinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP1
Carpinus betulus,0,0,0,2,1,1,0,0,0,0,0,16,0,0,0,0,0,0,X,P7,SP1
Castanea sativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP1
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP1
Crataegus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP1
Fraxinus exclesior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP1
Ilex aquifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP1
Populus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP1
Prunus avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP1
Quercus petraea,0,0,0,0,0,0,1,0,0,0,3,23,130,130,129,0,0,0,X,P7,SP1
Quercus pubescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP1
Quercus robur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP1
Robinia pseudoacacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP1
Salix sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP1
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP1
Sorbus acuparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP1
Sorbus torminalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP1
Tillia grandifolia,1,3,4,1,0,2,0,0,0,0,0,17,0,0,0,0,0,0,X,P7,SP1
Acer campestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP1
Acer platanoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP1
Alnus glutinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP1
Carpinus betulus,1,1,3,2,1,1,0,0,1,0,0,19,0,0,0,0,0,0,X,P8,SP1
Castanea sativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP1
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP1
Crataegus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP1
Fraxinus exclesior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP1
Ilex aquifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP1
Populus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP1
Prunus avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP1
Quercus petraea,0,0,0,0,0,0,1,1,0,0,1,20,125,0,0,0,0,0,X,P8,SP1
Quercus pubescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP1
Quercus robur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP1
Robinia pseudoacacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP1
Salix sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP1
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP1
Sorbus acuparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP1
Sorbus torminalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP1
Tillia grandifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP1
Acer campestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP1
Acer platanoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP1
Alnus glutinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP1
Carpinus betulus,0,3,1,1,1,3,0,1,0,0,0,23,0,0,0,0,0,0,X,P9,SP1
Castanea sativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP1
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP1
Crataegus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP1
Fraxinus exclesior,0,0,0,0,0,1,0,0,2,0,2,33,140,129,0,0,0,0,X,P9,SP1
Ilex aquifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP1
Populus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP1
Prunus avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP1
Quercus petraea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP1
Quercus pubescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP1
Quercus robur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP1
Robinia pseudoacacia,0,0,0,0,0,1,0,1,0,0,2,28,125,200,0,0,0,0,X,P9,SP1
Salix sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP1
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP1
Sorbus acuparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP1
Sorbus torminalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP1
Tillia grandifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP1
Acer campestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP1
Acer platanoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP1
Alnus glutinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP1
Carpinus betulus,0,0,3,1,7,4,3,1,0,1,0,29,0,0,0,0,0,0,X,P10,SP1
Castanea sativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP1
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP1
Crataegus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP1
Fraxinus exclesior,0,0,0,0,0,0,0,0,0,0,2,33,186,168,0,0,0,0,X,P10,SP1
Ilex aquifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP1
Populus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP1
Prunus avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP1
Quercus petraea,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,X,P10,SP1
Quercus pubescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP1
Quercus robur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP1
Robinia pseudoacacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP1
Salix sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP1
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP1
Sorbus acuparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP1
