Espece,25-34,35-44,45-54,55-64,65-74,75-84,85-94,95-104,105-114,115-124,Autre,Hauteur_Dominante_(m),Taille_sup_1,Taille_sup_2,Taille_sup_3,Taille_sup_4,Taille_sup_5,Taille_sup_6,Notes,Placette,Sous_placette
Tillia grandifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P5,SP2
Acer campestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP2
Acer platanoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP2
Alnus glutinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP2
Carpinus betulus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP2
Castanea sativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP2
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP2
Crataegus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP2
Fraxinus exclesior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP2
Ilex aquifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP2
Populus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP2
Prunus avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP2
Quercus petraea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP2
Quercus pubescens,7,18,19,8,4,2,0,0,0,0,0,11,0,0,0,0,0,0,X,P6,SP2
Quercus robur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP2
Robinia pseudoacacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP2
Salix sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP2
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP2
Sorbus acuparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP2
Sorbus torminalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP2
Tillia grandifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P6,SP2
Acer campestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP2
Acer platanoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP2
Alnus glutinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP2
Carpinus betulus,2,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,X,P7,SP2
Castanea sativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP2
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP2
Crataegus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP2
Fraxinus exclesior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP2
Ilex aquifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP2
Populus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP2
Prunus avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP2
Quercus petraea,0,0,0,0,1,2,0,1,0,4,6,20,215,125,135,175,168,140,X,P7,SP2
Quercus pubescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP2
Quercus robur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP2
Robinia pseudoacacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP2
Salix sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP2
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP2
Sorbus acuparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP2
Sorbus torminalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP2
Tillia grandifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P7,SP2
Acer campestre,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,X,P8,SP2
Acer platanoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP2
Alnus glutinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP2
Carpinus betulus,1,2,1,1,4,2,0,0,0,0,0,17,0,0,0,0,0,0,X,P8,SP2
Castanea sativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP2
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP2
Crataegus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP2
Fraxinus exclesior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP2
Ilex aquifolium,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,X,P8,SP2
Populus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP2
Prunus avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP2
Quercus petraea,0,0,0,0,0,1,1,1,1,0,2,22,148,139,0,0,0,0,X,P8,SP2
Quercus pubescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP2
Quercus robur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP2
Robinia pseudoacacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP2
Salix sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP2
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP2
Sorbus acuparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP2
Sorbus torminalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP2
Tillia grandifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P8,SP2
Acer campestre,1,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,X,P9,SP2
Acer platanoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP2
Alnus glutinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP2
Carpinus betulus,1,0,1,0,1,2,0,0,0,0,0,21,0,0,0,0,0,0,X,P9,SP2
Castanea sativa,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,X,P9,SP2
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP2
Crataegus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP2
Fraxinus exclesior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP2
Ilex aquifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP2
Populus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP2
Prunus avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP2
Quercus petraea,0,0,1,0,1,1,1,0,0,1,0,20,0,0,0,0,0,0,X,P9,SP2
Quercus pubescens,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,X,P9,SP2
Quercus robur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP2
Robinia pseudoacacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP2
Salix sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP2
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP2
Sorbus acuparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP2
Sorbus torminalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP2
Tillia grandifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P9,SP2
Acer campestre,1,0,3,1,0,2,0,0,0,0,0,17,0,0,0,0,0,0,X,P10,SP2
Acer platanoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP2
Alnus glutinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP2
Carpinus betulus,4,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,X,P10,SP2
Castanea sativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP2
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP2
Crataegus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP2
Fraxinus exclesior,7,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,X,P10,SP2
Ilex aquifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP2
Populus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP2
Prunus avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP2
Quercus petraea,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,X,P10,SP2
Quercus pubescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP2
Quercus robur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP2
Robinia pseudoacacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP2
Salix sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP2
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP2
Sorbus acuparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP2
Sorbus torminalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP2
Tillia grandifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P10,SP2
Acer campestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P11,SP2
Acer platanoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P11,SP2
Alnus glutinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P11,SP2
Carpinus betulus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P11,SP2
Castanea sativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P11,SP2
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P11,SP2
Crataegus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P11,SP2
Fraxinus exclesior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P11,SP2
Ilex aquifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P11,SP2
Populus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P11,SP2
Prunus avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P11,SP2
Quercus petraea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P11,SP2
Quercus pubescens,5,3,9,4,5,4,0,1,2,0,0,11,0,0,0,0,0,0,X,P11,SP2
Quercus robur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P11,SP2
Robinia pseudoacacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P11,SP2
Salix sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P11,SP2
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P11,SP2
Sorbus acuparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P11,SP2
Sorbus torminalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P11,SP2
Tillia grandifolia,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,X,P11,SP2
Acer campestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P12,SP2
Acer platanoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P12,SP2
Alnus glutinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P12,SP2
Carpinus betulus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P12,SP2
Castanea sativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P12,SP2
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P12,SP2
Crataegus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P12,SP2
Fraxinus exclesior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P12,SP2
Ilex aquifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P12,SP2
Populus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P12,SP2
Prunus avium,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,X,P12,SP2
Quercus petraea,0,2,2,8,1,6,6,0,0,0,1,17,127,0,0,0,0,0,X,P12,SP2
Quercus pubescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P12,SP2
Quercus robur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P12,SP2
Robinia pseudoacacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P12,SP2
Salix sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P12,SP2
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P12,SP2
Sorbus acuparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P12,SP2
Sorbus torminalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P12,SP2
Tillia grandifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P12,SP2
Acer campestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P14,SP2
Acer platanoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P14,SP2
Alnus glutinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P14,SP2
Carpinus betulus,10,3,1,2,0,0,1,0,0,0,0,14,0,0,0,0,0,0,X,P14,SP2
Castanea sativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P14,SP2
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P14,SP2
Crataegus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P14,SP2
Fraxinus exclesior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P14,SP2
Ilex aquifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P14,SP2
Populus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P14,SP2
Prunus avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P14,SP2
Quercus petraea,0,0,1,3,0,3,2,3,1,0,0,25,0,0,0,0,0,0,X,P14,SP2
Quercus pubescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P14,SP2
Quercus robur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P14,SP2
Robinia pseudoacacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P14,SP2
Salix sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P14,SP2
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P14,SP2
Sorbus acuparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P14,SP2
Sorbus torminalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P14,SP2
Tillia grandifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P14,SP2
Acer campestre,1,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,X,P16,SP2
Acer platanoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P16,SP2
Alnus glutinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P16,SP2
Carpinus betulus,0,0,1,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,X,P16,SP2
Castanea sativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P16,SP2
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P16,SP2
Crataegus sp,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,X,P16,SP2
Fraxinus exclesior,0,0,0,0,0,0,0,1,0,0,1,29,155,0,0,0,0,0,X,P16,SP2
Ilex aquifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P16,SP2
Populus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P16,SP2
Prunus avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P16,SP2
Quercus petraea,0,0,0,0,1,0,0,1,0,0,0,21,0,0,0,0,0,0,X,P16,SP2
Quercus pubescens,0,1,2,1,0,1,0,0,0,0,0,20,0,0,0,0,0,0,X,P16,SP2
Quercus robur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P16,SP2
Robinia pseudoacacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P16,SP2
Salix sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P16,SP2
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P16,SP2
Sorbus acuparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P16,SP2
Sorbus torminalis,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,X,P16,SP2
Tillia grandifolia,0,0,0,0,1,0,0,0,1,1,0,22,0,0,0,0,0,0,X,P16,SP2
Acer campestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P17,SP2
Acer platanoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P17,SP2
Alnus glutinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P17,SP2
Carpinus betulus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P17,SP2
Castanea sativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P17,SP2
Corylus avellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P17,SP2
Crataegus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P17,SP2
Fraxinus exclesior,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,X,P17,SP2
Ilex aquifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P17,SP2
Populus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P17,SP2
Prunus avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P17,SP2
Quercus petraea,15,0,2,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,X,P17,SP2
Quercus pubescens,17,9,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,X,P17,SP2
Quercus robur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P17,SP2
Robinia pseudoacacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P17,SP2
Salix sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P17,SP2
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P17,SP2
Sorbus acuparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P17,SP2
Sorbus torminalis,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,X,P17,SP2
Tillia grandifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,P17,SP2
